全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,POIコード,所在地_連結表記,建物名等(方書),緯度,経度,管理番号,公簿面積,備考
092088,0114000001,栃木県小山市,東道上１号公園,ヒガシミチウエイチゴウコウエン,1003,栃木県小山市粟宮1027-14,,139.78604,36.28414,,,
092088,0114000002,栃木県小山市,粟宮第一公園,アワノミヤダイイチコウエン,1003,栃木県小山市粟宮1038-1,,139.784017,36.285612,,,
092088,0114000003,栃木県小山市,宮内公園,ミヤウチコウエン,1003,栃木県小山市粟宮1-12,,139.78709,36.292756,,,
092088,0114000004,栃木県小山市,東道上３号公園,ヒガシミチウエサンゴウコウエン,1003,栃木県小山市粟宮1134-28,,139.785434,36.281881,,,
092088,0114000005,栃木県小山市,東道上公園,ヒガシミチウエコウエン,1003,栃木県小山市粟宮1238-17,,139.783238,36.281574,,,
092088,0114000006,栃木県小山市,西道上公園,ニシミチウエコウエン,1003,栃木県小山市粟宮1407-14,,139.777485,36.28358,,,
092088,0114000007,栃木県小山市,宮内３号公園,ミヤウチサンゴウコウエン,1003,栃木県小山市粟宮1585-19,,139.784332,36.291002,,,
092088,0114000008,栃木県小山市,宮内２号公園,ミヤウチニゴウコウエン,1003,栃木県小山市粟宮1696-8,,139.779344,36.288123,,,
092088,0114000009,栃木県小山市,粟宮１号公園,アワノミヤイチゴウコウエン,1003,栃木県小山市粟宮1830-22,,139.784294,36.294932,,,
092088,0114000010,栃木県小山市,粟宮２号公園,アワノミヤニゴウコウエン,1003,栃木県小山市粟宮1970-23,,139.783427,36.29408,,,
092088,0114000011,栃木県小山市,西添公園,ニシゾイコウエン,1003,栃木県小山市粟宮2348-17,,139.778225,36.288612,,,
092088,0114000012,栃木県小山市,西添２号公園,ニシゾイニゴウコウエン,1003,栃木県小山市粟宮2387-13,,139.777487,36.285781,,,
092088,0114000013,栃木県小山市,西添３号公園,ニシゾイサンゴウコウエン,1003,栃木県小山市粟宮2432-22,,139.775906,36.286244,,,
092088,0114000014,栃木県小山市,東道上２号公園,ヒガシミチウエニゴウコウエン,1003,栃木県小山市粟宮898-19,,139.788296,36.287488,,,
092088,0114000015,栃木県小山市,下田西５号公園,シモダニシゴゴウコウエン,1003,栃木県小山市羽川1-20,,139.820681,36.351424,,,
092088,0114000016,栃木県小山市,下田西３号公園,シモダニシサンゴウコウエン,1003,栃木県小山市羽川12-32,,139.822133,36.353168,,,
092088,0114000017,栃木県小山市,下田西１号公園,シモダニシイチゴウコウエン,1003,栃木県小山市羽川12-41,,139.822832,36.35264,,,
092088,0114000018,栃木県小山市,庚申原公園,コウシンバラコウエン,1003,栃木県小山市羽川138-39,,139.825764,36.35371,,,
092088,0114000019,栃木県小山市,下往還西２号公園,シモオウカンニシニゴウコウエン,1003,栃木県小山市羽川146-102,,139.826974,36.355565,,,
092088,0114000020,栃木県小山市,下往還西公園,シモオウカンニシコウエン,1003,栃木県小山市羽川146-78,,139.82716,36.355516,,,
092088,0114000021,栃木県小山市,西原下公園,ニシハラシタコウエン,1003,栃木県小山市羽川191-13,,139.824241,36.353839,,,
092088,0114000022,栃木県小山市,陳場２号公園,チンバニゴウコウエン,1003,栃木県小山市羽川285-110,,139.83068,36.364635,,,
092088,0114000023,栃木県小山市,陳場公園,チンバコウエン,1003,栃木県小山市羽川285-49,,139.831373,36.364608,,,
092088,0114000024,栃木県小山市,古泉道１号公園,コセンドウイチゴウコウエン,1003,栃木県小山市羽川287-26,,139.832311,36.366108,,,
092088,0114000025,栃木県小山市,古泉道３号公園,コセンドウサンゴウコウエン,1003,栃木県小山市羽川288-75,,139.832864,36.366966,,,
092088,0114000026,栃木県小山市,古泉道２号公園,コセンドウニゴウコウエン,1003,栃木県小山市羽川293-21,,139.832157,36.365566,,,
092088,0114000027,栃木県小山市,上往還西公園,カミオウカンニシコウエン,1003,栃木県小山市羽川313-18,,139.831173,36.363373,,,
092088,0114000028,栃木県小山市,薬師公園,ヤクシコウエン,1003,栃木県小山市羽川362-5,,139.830415,36.361386,,,
092088,0114000029,栃木県小山市,西屋敷裏３号公園,ニシヤシキウラサンゴウコウエン,1003,栃木県小山市羽川370-32,,139.827738,36.3609015555555,,,
092088,0114000030,栃木県小山市,西屋敷裏２号公園,ニシヤシキウラニゴウコウエン,1003,栃木県小山市羽川384-18,,139.827395,36.360549,,,
092088,0114000031,栃木県小山市,西屋敷裏公園,ニシヤシキウラコウエン,1003,栃木県小山市羽川385-29,,139.826995,36.359872,,,
092088,0114000032,栃木県小山市,西屋敷裏４号公園,ニシヤシキウラヨンゴウコウエン,1003,栃木県小山市羽川385-68,,139.829341,36.359284,,,
092088,0114000033,栃木県小山市,西屋敷裏７号公園,ニシヤシキウラナナゴウコウエン,1003,栃木県小山市羽川388-14,,139.82752,36.358524,,,
092088,0114000034,栃木県小山市,くらしのみち公園,クラシノミチコウエン,1003,栃木県小山市羽川389-1,,139.828693,36.359239,,,
092088,0114000035,栃木県小山市,西屋敷裏５号公園,ニシヤシキウラゴゴウコウエン,1003,栃木県小山市羽川389-8,,139.828591,36.359163,,,
