都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
092088,0110000001,栃木県,小山市,小山市中央公衆トイレ,オヤマシチュウオウコウシュウトイレ,,栃木県小山市中央町3-3-10,,ロブレ632 1階西側付近,36.313240,139.803776,3,2,0,1,2,1,1,5,1,2,0,有,無,無,,,,,,
092088,0110000002,栃木県,小山市,小山市駅東口公衆トイレ,オヤマシエキヒガシグチコウシュウトイレ,,栃木県小山市駅東通り2-1860-6,,小山駅東口エレベーター付近,36.312694,139.806884,2,1,0,1,1,0,1,3,0,2,0,有,無,無,,,,,,
092088,0110000003,栃木県,小山市,間々田駅東口公衆トイレ,ママダエキヒガシグチコウシュウトイレ,,栃木県小山市暁2-24,,間々田駅東口,36.257731,139.761248,2,1,1,0,1,1,0,3,2,0,0,無,無,無,,,,,,
092088,0110000004,栃木県,小山市,間々田駅西口公衆トイレ,ママダエキニシグチコウシュウトイレ,,栃木県小山市乙女3-104-2,,間々田駅西口,36.257955,139.760715,2,1,1,0,1,1,0,3,2,0,0,無,無,無,,,,,,
092088,0110000005,栃木県,小山市,思川駅公衆トイレ,オモイガワエキコウシュウトイレ,,栃木県小山市松沼964-4,,思川駅南口,36.350694,139.781462,2,1,1,0,1,1,0,3,2,0,0,無,無,無,,,,,,
092088,0110000006,栃木県,小山市,青葉公園,アオバコウエン,,栃木県小山市犬塚3-1,,,36.312935,139.827408,1,1,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
092088,0110000007,栃木県,小山市,あさひ公園,アサヒコウエン,,栃木県小山市駅南町5-6,,,36.302906,139.814124,1,1,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
092088,0110000008,栃木県,小山市,あさひの公園,アサヒノコウエン,,栃木県小山市乙女3-106-14,,,36.259677,139.761681,1,1,0,0,0,0,0,1,0,1,0,無,無,無,,,,,,
092088,0110000009,栃木県,小山市,浅間東公園,アサマヒガシコウエン,,栃木県小山市東間々田3-40,,,36.259684,139.769395,0,0,0,0,0,0,0,2,1,1,0,無,無,無,,,,,,
092088,0110000010,栃木県,小山市,網戸公園,アジトコウエン,,栃木県小山市網戸791-2,,,36.277896,139.749319,1,1,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
092088,0110000011,栃木県,小山市,石ノ上河川広場,イシノウエカセンヒロバ,,栃木県小山市石ノ上1062-2,,,36.301437,139.778685,0,0,0,0,0,0,0,2,2,0,0,無,無,無,,,,,,
